Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,0.738,0.977,24.891
0.101,0.738,0.977,24.891
0.201,0.738,0.99,26.322
0.301,0.738,0.99,26.322
0.401,0.738,0.99,26.322
0.502,0.748,0.99,25.157
0.602,0.748,0.99,25.157
0.702,0.748,0.99,25.157
0.802,0.748,0.996,25.801
0.903,0.748,0.996,25.801
1.003,0.748,0.996,25.801
1.103,0.746,0.996,26.023
1.203,0.746,0.996,26.023
1.303,0.746,0.996,26.023
1.404,0.746,1.012,27.753
1.504,0.746,1.012,27.753
1.604,0.746,1.012,27.753
1.704,0.754,1.012,26.858
1.804,0.754,1.012,26.858
1.905,0.754,1.012,26.858
2.005,0.754,1.018,27.508
2.105,0.754,1.018,27.508
2.205,0.754,1.018,27.508
2.305,0.752,1.018,27.732
2.406,0.752,1.018,27.732
2.506,0.752,1.018,27.732
2.606,0.752,1.022,28.167
2.706,0.752,1.022,28.167
2.806,0.752,1.022,28.167
2.907,0.758,1.022,27.494
3.007,0.758,1.022,27.494
3.107,0.758,1.022,27.494
3.207,0.758,1.014,26.628
3.308,0.758,1.014,26.628
3.408,0.758,1.014,26.628
3.508,0.744,1.014,28.195
3.608,0.744,1.014,28.195
3.709,0.744,1.014,28.195
3.809,0.744,1.014,28.195
3.909,0.744,1.014,28.195
4.009,0.744,1.014,28.195
4.11,0.74,1.014,28.647
4.21,0.74,1.014,28.647
4.31,0.74,1.014,28.647
4.41,0.74,1.012,28.428
4.511,0.74,1.012,28.428
4.611,0.74,1.012,28.428
4.711,0.74,1.012,28.428
4.812,0.74,1.012,28.428
4.912,0.74,1.012,28.428
5.012,0.74,0.996,26.691
5.112,0.74,0.996,26.691
5.213,0.74,0.996,26.691
5.313,0.738,0.996,26.914
5.413,0.738,0.996,26.914
5.513,0.738,0.996,26.914
5.614,0.738,0.99,26.266
5.714,0.738,0.99,26.266
5.814,0.738,0.99,26.266
5.915,0.734,0.99,26.713
6.015,0.734,0.99,26.713
6.115,0.734,0.99,26.713
6.215,0.734,1.004,28.232
6.316,0.734,1.004,28.232
6.416,0.734,1.004,28.232
6.516,0.732,1.004,28.458
6.616,0.732,1.004,28.458
6.717,0.732,1.004,28.458
6.817,0.732,0.996,27.586
6.917,0.732,0.996,27.586
7.017,0.732,0.996,27.586
7.118,0.724,0.996,28.488
7.218,0.724,0.996,28.488
7.319,0.724,0.996,28.488
7.419,0.724,1.008,29.804
7.519,0.724,1.008,29.804
7.62,0.724,1.008,29.804
7.72,0.734,1.008,28.669
7.82,0.734,1.008,28.669
7.921,0.734,1.008,28.669
8.021,0.734,1.024,30.429
8.121,0.734,1.024,30.429
8.222,0.734,1.024,30.429
8.322,0.732,1.024,30.658
8.422,0.732,1.024,30.658
8.522,0.732,1.024,30.658
8.623,0.732,1.018,29.994
8.723,0.732,1.018,29.994
8.823,0.732,1.018,29.994
8.924,0.732,1.018,29.994
9.024,0.732,1.018,29.994
9.124,0.732,1.018,29.994
9.225,0.732,0.996,27.586
9.325,0.732,0.996,27.586
9.425,0.732,0.996,27.586
9.526,0.732,0.996,27.586
9.626,0.732,0.996,27.586
9.726,0.732,0.996,27.586
9.826,0.732,1.004,28.458
9.927,0.732,1.004,28.458
10.027,0.732,1.004,28.458
10.127,0.734,1.004,28.232
10.228,0.734,1.004,28.232
10.328,0.734,1.004,28.232
10.428,0.734,0.992,26.929
10.529,0.734,0.992,26.929
10.629,0.734,0.992,26.929
10.729,0.726,0.992,27.826
10.83,0.726,0.992,27.826
10.93,0.726,0.992,27.826
11.03,0.726,0.992,27.826
11.131,0.726,0.992,27.826
11.231,0.726,0.992,27.826
11.331,0.724,0.992,28.052
11.432,0.724,0.992,28.052
11.532,0.724,0.992,28.052
11.633,0.724,0.992,28.052
11.733,0.724,0.992,28.052
11.833,0.724,0.992,28.052
11.933,0.722,0.992,28.278
12.034,0.722,0.992,28.278
12.134,0.722,0.992,28.278
12.234,0.722,1.004,29.592
12.335,0.722,1.004,29.592
12.435,0.722,1.004,29.592
12.535,0.734,1.004,28.232
12.635,0.734,1.004,28.232
12.736,0.734,1.004,28.232
12.836,0.734,1.006,28.45
12.937,0.734,1.006,28.45
13.037,0.734,1.006,28.45
13.137,0.744,1.006,27.326
13.237,0.744,1.006,27.326
13.338,0.744,1.006,27.326
13.438,0.744,1.012,27.978
13.538,0.744,1.012,27.978
13.639,0.744,1.012,27.978
13.739,0.728,1.012,29.789
13.839,0.728,1.012,29.789
13.94,0.728,1.012,29.789
14.04,0.728,1.008,29.349
14.14,0.728,1.008,29.349
14.241,0.728,1.008,29.349
14.341,0.734,1.008,28.669
14.441,0.734,1.008,28.669
14.542,0.734,1.008,28.669
14.642,0.734,1.006,28.45
14.742,0.734,1.006,28.45
14.843,0.734,1.006,28.45
14.943,0.738,1.006,27.999
15.044,0.738,1.006,27.999
15.144,0.738,1.006,27.999
15.244,0.738,1.006,27.999
15.345,0.738,1.006,27.999
15.445,0.738,1.006,27.999
15.545,0.742,1.006,27.55
15.646,0.742,1.006,27.55
15.746,0.742,1.006,27.55
15.846,0.742,1.004,27.333
15.946,0.742,1.004,27.333
16.047,0.742,1.004,27.333
16.147,0.726,1.004,29.137
16.247,0.726,1.004,29.137
16.348,0.726,1.002,28.918
16.448,0.726,1.002,28.918
16.548,0.726,1.002,28.918
16.649,0.744,1.002,26.893
16.749,0.744,1.002,26.893
16.849,0.744,1.002,26.893
16.95,0.744,1.008,27.543
17.05,0.744,1.008,27.543
17.15,0.744,1.008,27.543
17.251,0.748,1.008,27.095
17.351,0.748,1.008,27.095
17.451,0.748,1.008,27.095
17.552,0.748,1.01,27.312
17.652,0.748,1.01,27.312
17.752,0.748,1.01,27.312
17.852,0.746,1.01,27.536
17.953,0.746,1.01,27.536
18.053,0.746,1.01,27.536
18.153,0.746,1.012,27.753
18.254,0.746,1.012,27.753
18.354,0.746,1.012,27.753
18.454,0.746,1.012,27.753
18.554,0.734,1.012,29.107
18.655,0.734,1.012,29.107
18.755,0.734,1.004,28.232
18.855,0.734,1.004,28.232
18.956,0.734,1.004,28.232
19.056,0.734,1.004,28.232
19.156,0.734,1.004,28.232
19.257,0.734,1.004,28.232
19.357,0.734,1.006,28.45
19.457,0.734,1.006,28.45
19.558,0.734,1.006,28.45
19.658,0.734,1.006,28.45
19.758,0.734,1.006,28.45
19.859,0.734,1.006,28.45
19.959,0.734,1.008,28.669
20.059,0.734,1.008,28.669
20.159,0.734,1.008,28.669
20.26,0.726,1.008,29.576
20.36,0.726,1.008,29.576
20.46,0.726,1.008,29.576
20.561,0.726,1.01,29.797
20.661,0.726,1.01,29.797
20.761,0.726,1.01,29.797
20.861,0.726,1.01,29.797
20.962,0.726,1.01,29.797
21.062,0.726,1.01,29.797
21.163,0.726,1.008,29.576
21.263,0.726,1.008,29.576
21.363,0.726,1.008,29.576
21.464,0.718,1.008,30.491
21.564,0.718,1.008,30.491
21.664,0.718,1.008,30.491
21.765,0.718,1.014,31.157
21.865,0.718,1.014,31.157
21.965,0.718,1.014,31.157
22.066,0.724,1.014,30.467
22.166,0.724,1.014,30.467
22.266,0.724,1.014,30.467
22.367,0.724,1.006,29.584
22.467,0.724,1.006,29.584
22.567,0.724,1.006,29.584
22.668,0.72,1.006,30.041
22.768,0.72,1.006,30.041
22.869,0.72,1.006,30.041
22.969,0.72,0.996,28.941
23.069,0.72,0.996,28.941
23.17,0.72,0.996,28.941
23.27,0.714,0.996,29.624
23.371,0.714,0.996,29.624
23.471,0.714,0.996,29.624
23.571,0.714,0.998,29.844
23.672,0.714,0.998,29.844
23.772,0.714,0.998,29.844
23.872,0.712,0.998,30.073
23.973,0.712,0.998,30.073
24.073,0.712,0.998,30.073
24.173,0.712,0.994,29.632
24.274,0.712,0.994,29.632
24.374,0.712,0.994,29.632
24.475,0.718,0.994,28.949
24.575,0.718,0.994,28.949
24.675,0.718,0.994,28.949
24.776,0.718,0.998,29.388
24.876,0.718,0.998,29.388
24.976,0.718,0.998,29.388
25.077,0.732,0.998,27.804
25.177,0.732,0.998,27.804
25.277,0.732,0.998,27.804
25.378,0.732,0.996,27.586
25.478,0.732,0.996,27.586
25.579,0.732,0.996,27.586
25.679,0.728,0.996,28.037
25.779,0.728,0.996,28.037
25.88,0.728,0.996,28.037
25.98,0.728,1.006,29.129
26.08,0.728,1.006,29.129
26.181,0.728,1.006,29.129
26.281,0.736,1.006,28.225
26.381,0.736,1.006,28.225
26.482,0.736,1.006,28.225
26.582,0.736,1.008,28.443
26.682,0.736,1.008,28.443
26.783,0.736,1.008,28.443
26.883,0.74,1.008,27.992
26.983,0.74,1.008,27.992
27.084,0.74,1.008,27.992
27.184,0.74,1.006,27.774
27.284,0.74,1.006,27.774
27.385,0.74,1.006,27.774
27.485,0.74,1.006,27.774
27.585,0.74,1.006,27.774
27.686,0.74,1.006,27.774
27.786,0.74,1.006,27.774
27.887,0.74,1.006,27.774
27.987,0.74,1.006,27.774
28.087,0.72,1.006,30.041
28.188,0.72,1.006,30.041
28.288,0.72,1.006,30.041
28.388,0.72,1.008,30.262
28.489,0.72,1.008,30.262
28.589,0.72,1.008,30.262
28.689,0.72,1.008,30.262
28.79,0.72,1.008,30.262
28.89,0.72,1.008,30.262
28.99,0.72,0.996,28.941
29.09,0.72,0.996,28.941
29.19,0.72,0.996,28.941
29.291,0.71,0.996,30.081
29.391,0.71,0.996,30.081
29.491,0.71,0.996,30.081
29.591,0.71,0.998,30.302
29.692,0.71,0.998,30.302
29.792,0.71,0.998,30.302
29.892,0.716,0.998,29.616
29.992,0.716,0.998,29.616
