Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.001,3.797,4.785,89.744
0.101,3.797,4.785,89.744
0.202,3.792,4.785,89.745
0.302,3.792,4.785,89.745
0.402,3.792,4.785,89.745
0.503,3.792,4.794,89.747
0.603,3.792,4.794,89.747
0.703,3.792,4.794,89.747
0.804,3.79,4.794,89.748
0.904,3.79,4.794,89.748
1.004,3.79,4.794,89.748
1.104,3.79,4.842,89.761
1.205,3.79,4.842,89.761
1.305,3.79,4.842,89.761
1.405,3.794,4.842,89.76
1.506,3.794,4.842,89.76
1.606,3.794,4.842,89.76
1.706,3.794,4.846,89.761
1.807,3.794,4.846,89.761
1.907,3.794,4.846,89.761
2.007,3.788,4.846,89.762
2.108,3.788,4.846,89.762
2.208,3.788,4.846,89.762
2.308,3.788,4.878,89.77
2.409,3.788,4.878,89.77
2.509,3.788,4.878,89.77
2.609,3.78,4.878,89.771
2.709,3.78,4.878,89.771
2.81,3.78,4.878,89.771
2.91,3.78,4.874,89.77
3.01,3.78,4.874,89.77
3.111,3.78,4.874,89.77
3.211,3.778,4.874,89.771
3.311,3.778,4.874,89.771
3.411,3.778,4.874,89.771
3.512,3.778,4.884,89.773
3.612,3.778,4.884,89.773
3.712,3.778,4.884,89.773
3.813,3.776,4.884,89.773
3.913,3.776,4.884,89.773
4.013,3.776,4.884,89.773
4.113,3.776,4.882,89.773
4.214,3.776,4.882,89.773
4.314,3.776,4.882,89.773
4.414,3.766,4.882,89.775
4.515,3.766,4.882,89.775
4.615,3.766,4.882,89.775
4.715,3.766,4.888,89.776
4.815,3.766,4.888,89.776
4.916,3.766,4.888,89.776
5.016,3.766,4.888,89.776
5.116,3.766,4.888,89.776
5.217,3.766,4.888,89.776
5.317,3.766,4.88,89.774
5.417,3.766,4.88,89.774
5.518,3.766,4.88,89.774
5.618,3.76,4.88,89.775
5.718,3.76,4.88,89.775
5.818,3.76,4.88,89.775
5.919,3.76,4.884,89.776
6.019,3.76,4.884,89.776
6.119,3.766,4.884,89.775
6.22,3.766,4.884,89.775
6.32,3.766,4.884,89.775
6.42,3.766,4.884,89.775
6.52,3.766,4.884,89.775
6.621,3.766,4.884,89.775
6.721,3.772,4.884,89.774
6.821,3.772,4.884,89.774
6.922,3.772,4.884,89.774
7.022,3.772,4.88,89.773
7.122,3.772,4.88,89.773
7.222,3.772,4.88,89.773
7.323,3.772,4.88,89.773
7.423,3.784,4.88,89.771
7.523,3.784,4.88,89.771
7.624,3.784,4.882,89.772
7.724,3.784,4.882,89.772
7.824,3.784,4.882,89.772
7.924,3.784,4.882,89.772
8.024,3.786,4.882,89.771
8.125,3.786,4.882,89.771
8.225,3.786,4.88,89.771
8.325,3.786,4.88,89.771
8.425,3.786,4.88,89.771
8.526,3.796,4.88,89.769
8.626,3.796,4.88,89.769
8.726,3.796,4.88,89.769
8.826,3.796,4.89,89.771
8.927,3.796,4.89,89.771
9.027,3.796,4.89,89.771
9.127,3.792,4.89,89.772
9.227,3.792,4.89,89.772
9.328,3.792,4.89,89.772
9.428,3.792,4.884,89.771
9.528,3.792,4.884,89.771
9.629,3.792,4.884,89.771
9.729,3.792,4.884,89.771
9.829,3.792,4.884,89.771
9.929,3.792,4.884,89.771
10.03,3.792,4.884,89.771
10.13,3.792,4.89,89.772
10.23,3.792,4.89,89.772
10.33,3.784,4.89,89.773
10.431,3.784,4.89,89.773
10.531,3.784,4.89,89.773
10.631,3.784,4.884,89.772
10.731,3.784,4.884,89.772
10.832,3.784,4.884,89.772
10.932,3.784,4.884,89.772
11.032,3.784,4.884,89.772
11.133,3.784,4.884,89.772
11.233,3.784,4.882,89.772
11.333,3.784,4.882,89.772
11.434,3.784,4.882,89.772
11.534,3.78,4.882,89.772
11.634,3.78,4.882,89.772
11.734,3.78,4.882,89.772
11.835,3.78,4.872,89.77
11.935,3.78,4.872,89.77
12.035,3.78,4.872,89.77
12.135,3.776,4.872,89.771
12.236,3.776,4.872,89.771
12.336,3.776,4.872,89.771
12.436,3.776,4.886,89.774
