Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,4.043,3.993,-4.713
0.101,4.043,3.993,-4.713
0.201,4.043,3.993,-4.713
0.301,4.043,3.998,-4.313
0.401,4.043,3.998,-4.313
0.502,4.043,3.998,-4.313
0.602,4.04,3.998,-4.073
0.702,4.04,3.998,-4.073
0.802,4.04,3.998,-4.073
0.903,4.04,4.002,-3.641
1.003,4.04,4.002,-3.641
1.103,4.04,4.002,-3.641
1.203,4.036,4.002,-3.258
1.303,4.036,4.002,-3.258
1.404,4.036,4.002,-3.258
1.504,4.036,4.01,-2.491
1.604,4.036,4.01,-2.491
1.704,4.036,4.01,-2.491
1.804,4.036,4.01,-2.491
1.905,4.036,4.01,-2.491
2.005,4.036,4.01,-2.491
2.105,4.036,4.008,-2.682
2.205,4.036,4.008,-2.682
2.305,4.036,4.008,-2.682
2.406,4.024,4.008,-1.532
2.506,4.024,4.008,-1.532
2.606,4.024,4.008,-1.532
2.706,4.024,4.012,-1.149
2.807,4.024,4.012,-1.149
2.907,4.024,4.012,-1.149
3.007,4.026,4.012,-1.341
3.107,4.026,4.012,-1.341
3.207,4.026,4.012,-1.341
3.308,4.026,4.012,-1.341
3.408,4.026,4.012,-1.341
3.508,4.026,4.012,-1.341
3.609,4.018,4.012,-0.575
3.709,4.018,4.012,-0.575
3.809,4.018,4.012,-0.575
3.909,4.018,4.014,-0.383
4.01,4.018,4.014,-0.383
4.11,4.018,4.014,-0.383
4.21,4.022,4.014,-0.766
4.31,4.022,4.014,-0.766
4.411,4.022,4.014,-0.766
4.511,4.022,4.016,-0.575
4.611,4.022,4.016,-0.575
4.711,4.022,4.016,-0.575
4.812,4.018,4.016,-0.192
4.912,4.018,4.016,-0.192
5.012,4.018,4.016,-0.192
5.112,4.018,4.026,0.766
5.213,4.018,4.026,0.766
5.313,4.018,4.026,0.766
5.413,4.034,4.026,-0.766
5.513,4.034,4.026,-0.766
5.614,4.034,4.026,-0.766
5.714,4.034,4.03,-0.383
5.814,4.034,4.03,-0.383
5.915,4.034,4.03,-0.383
6.015,4.034,4.03,-0.383
6.115,4.034,4.03,-0.383
6.215,4.034,4.03,-0.383
6.316,4.034,4.042,0.766
6.416,4.034,4.042,0.766
6.516,4.034,4.042,0.766
6.616,4.038,4.042,0.383
6.717,4.038,4.042,0.383
6.817,4.038,4.042,0.383
6.917,4.038,4.04,0.192
7.017,4.038,4.04,0.192
7.118,4.038,4.04,0.192
7.218,4.05,4.04,-0.958
7.318,4.05,4.04,-0.958
7.419,4.05,4.04,-0.958
7.519,4.05,4.052,0.192
7.619,4.05,4.052,0.192
7.719,4.05,4.052,0.192
7.82,4.054,4.052,-0.192
7.92,4.054,4.052,-0.192
8.02,4.054,4.052,-0.192
8.121,4.054,4.05,-0.383
8.221,4.054,4.05,-0.383
8.321,4.054,4.05,-0.383
8.421,4.046,4.05,0.383
8.522,4.046,4.05,0.383
8.622,4.046,4.05,0.383
8.722,4.046,4.048,0.192
8.823,4.046,4.048,0.192
8.923,4.046,4.048,0.192
9.023,4.05,4.048,-0.192
9.124,4.05,4.048,-0.192
9.224,4.05,4.048,-0.192
9.324,4.05,4.042,-0.766
9.425,4.05,4.042,-0.766
9.525,4.038,4.042,0.383
9.625,4.038,4.042,0.383
9.726,4.038,4.042,0.383
9.826,4.038,4.042,0.383
9.926,4.038,4.05,1.149
10.027,4.038,4.05,1.149
10.127,4.038,4.05,1.149
10.228,4.026,4.05,2.299
10.328,4.026,4.05,2.299
10.428,4.026,4.05,2.299
10.528,4.026,4.04,1.341
10.629,4.026,4.04,1.341
10.729,4.026,4.04,1.341
10.829,4.028,4.04,1.149
10.93,4.028,4.04,1.149
11.03,4.028,4.034,0.575
11.131,4.028,4.034,0.575
11.231,4.028,4.034,0.575
11.331,4.028,4.034,0.575
11.432,4.012,4.034,2.107
