Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,1.367,0.68,-88.453
0.101,1.367,0.68,-88.453
0.201,1.367,0.68,-88.453
0.301,1.36,0.68,-88.433
0.401,1.36,0.68,-88.433
0.501,1.36,0.68,-88.433
0.602,1.36,0.668,-88.451
0.702,1.36,0.668,-88.451
0.802,1.36,0.668,-88.451
0.902,1.362,0.668,-88.457
1.002,1.362,0.668,-88.457
1.103,1.362,0.668,-88.457
1.203,1.362,0.662,-88.466
1.303,1.362,0.662,-88.466
1.403,1.362,0.662,-88.466
1.503,1.356,0.662,-88.448
1.603,1.356,0.662,-88.448
1.704,1.356,0.662,-88.448
1.804,1.356,0.664,-88.445
1.904,1.356,0.664,-88.445
2.004,1.356,0.664,-88.445
2.104,1.344,0.664,-88.408
2.205,1.344,0.664,-88.408
2.305,1.344,0.664,-88.408
2.405,1.344,0.668,-88.402
2.505,1.344,0.668,-88.402
2.606,1.344,0.668,-88.402
2.706,1.338,0.668,-88.383
2.806,1.338,0.668,-88.383
2.906,1.338,0.668,-88.383
3.006,1.338,0.676,-88.37
3.107,1.338,0.676,-88.37
3.207,1.338,0.676,-88.37
3.307,1.342,0.676,-88.383
3.407,1.342,0.676,-88.383
3.508,1.342,0.676,-88.383
3.608,1.342,0.684,-88.369
3.708,1.342,0.684,-88.369
3.809,1.342,0.684,-88.369
3.909,1.338,0.684,-88.356
4.009,1.338,0.684,-88.356
4.109,1.338,0.684,-88.356
4.21,1.338,0.684,-88.356
4.31,1.338,0.684,-88.356
4.41,1.338,0.684,-88.356
4.511,1.342,0.684,-88.369
4.611,1.342,0.684,-88.369
4.711,1.342,0.684,-88.369
4.811,1.342,0.688,-88.363
4.912,1.342,0.688,-88.363
5.012,1.342,0.688,-88.363
5.112,1.36,0.688,-88.421
5.212,1.36,0.688,-88.421
5.313,1.36,0.688,-88.421
5.413,1.36,0.684,-88.427
5.513,1.36,0.684,-88.427
5.613,1.36,0.684,-88.427
5.714,1.358,0.684,-88.421
5.814,1.358,0.684,-88.421
5.914,1.358,0.684,-88.421
6.014,1.358,0.672,-88.439
6.115,1.358,0.672,-88.439
6.215,1.358,0.672,-88.439
6.315,1.356,0.672,-88.433
6.416,1.356,0.672,-88.433
6.516,1.356,0.672,-88.433
6.616,1.356,0.672,-88.433
6.716,1.356,0.672,-88.433
6.817,1.356,0.672,-88.433
6.917,1.362,0.672,-88.451
7.017,1.362,0.672,-88.451
7.117,1.362,0.672,-88.451
7.218,1.362,0.674,-88.448
7.318,1.362,0.674,-88.448
7.418,1.362,0.674,-88.448
7.518,1.364,0.674,-88.454
7.619,1.364,0.674,-88.454
7.719,1.364,0.674,-88.454
7.819,1.364,0.666,-88.466
7.92,1.364,0.666,-88.466
8.02,1.364,0.666,-88.466
8.12,1.366,0.666,-88.472
8.22,1.366,0.666,-88.472
8.321,1.366,0.666,-88.472
8.421,1.366,0.666,-88.472
8.521,1.366,0.666,-88.472
8.621,1.366,0.666,-88.472
8.722,1.374,0.666,-88.495
8.822,1.374,0.666,-88.495
8.922,1.374,0.666,-88.495
9.023,1.374,0.686,-88.466
9.123,1.374,0.686,-88.466
9.223,1.374,0.686,-88.466
9.323,1.38,0.686,-88.484
9.424,1.38,0.686,-88.484
9.524,1.38,0.686,-88.484
9.624,1.38,0.696,-88.469
9.724,1.38,0.696,-88.469
9.825,1.38,0.696,-88.469
9.925,1.374,0.696,-88.451
10.025,1.374,0.696,-88.451
10.126,1.374,0.696,-88.451
10.226,1.374,0.7,-88.445
10.326,1.374,0.7,-88.445
10.427,1.374,0.7,-88.445
10.527,1.368,0.7,-88.426
10.627,1.368,0.7,-88.426
10.727,1.368,0.7,-88.426
10.828,1.368,0.708,-88.414
10.928,1.368,0.708,-88.414
11.028,1.368,0.708,-88.414
11.129,1.364,0.708,-88.401
11.229,1.364,0.708,-88.401
11.329,1.364,0.708,-88.401
11.429,1.364,0.712,-88.394
11.53,1.364,0.712,-88.394
11.63,1.364,0.712,-88.394
11.73,1.364,0.712,-88.394
11.831,1.364,0.712,-88.394
11.931,1.364,0.712,-88.394
12.031,1.364,0.69,-88.43
12.131,1.364,0.69,-88.43
12.232,1.364,0.69,-88.43
12.332,1.354,0.69,-88.398
12.432,1.354,0.69,-88.398
12.533,1.354,0.69,-88.398
12.633,1.354,0.682,-88.411
12.733,1.354,0.682,-88.411
12.834,1.354,0.682,-88.411
12.934,1.354,0.682,-88.411
13.034,1.354,0.682,-88.411
13.134,1.354,0.682,-88.411
13.235,1.354,0.662,-88.442
13.335,1.354,0.662,-88.442
13.435,1.354,0.662,-88.442
13.536,1.352,0.662,-88.436
13.636,1.352,0.662,-88.436
13.736,1.352,0.662,-88.436
13.836,1.352,0.656,-88.445
13.937,1.352,0.656,-88.445
14.037,1.352,0.656,-88.445
14.137,1.344,0.656,-88.42
14.238,1.344,0.656,-88.42
14.338,1.344,0.656,-88.42
14.438,1.344,0.652,-88.426
14.539,1.344,0.652,-88.426
14.639,1.344,0.652,-88.426
14.739,1.344,0.652,-88.426
14.84,1.344,0.652,-88.426
14.94,1.344,0.652,-88.426
15.04,1.344,0.658,-88.417
15.14,1.344,0.658,-88.417
15.241,1.358,0.658,-88.46
15.341,1.358,0.658,-88.46
15.441,1.358,0.658,-88.46
15.542,1.358,0.648,-88.474
15.642,1.358,0.648,-88.474
15.742,1.358,0.648,-88.474
15.842,1.358,0.648,-88.474
15.943,1.364,0.648,-88.491
16.043,1.364,0.648,-88.491
16.143,1.364,0.666,-88.466
16.244,1.364,0.666,-88.466
16.344,1.364,0.666,-88.466
16.444,1.372,0.666,-88.489
16.544,1.372,0.666,-88.489
16.645,1.372,0.666,-88.489
16.745,1.372,0.658,-88.5
16.845,1.372,0.658,-88.5
16.945,1.372,0.658,-88.5
17.046,1.38,0.658,-88.523
17.146,1.38,0.658,-88.523
17.246,1.38,0.658,-88.523
17.346,1.38,0.66,-88.52
17.447,1.38,0.66,-88.52
17.547,1.38,0.66,-88.52
17.647,1.37,0.66,-88.492
17.747,1.37,0.66,-88.492
17.848,1.37,0.66,-88.492
17.948,1.37,0.658,-88.495
18.048,1.37,0.658,-88.495
18.149,1.37,0.658,-88.495
18.249,1.362,0.658,-88.471
18.35,1.362,0.658,-88.471
18.45,1.362,0.658,-88.471
18.551,1.362,0.658,-88.471
18.651,1.362,0.658,-88.471
18.752,1.362,0.658,-88.471
18.852,1.348,0.658,-88.43
18.952,1.348,0.658,-88.43
19.053,1.348,0.658,-88.43
19.153,1.348,0.658,-88.43
19.253,1.348,0.658,-88.43
19.354,1.348,0.658,-88.43
19.454,1.346,0.658,-88.423
19.555,1.346,0.658,-88.423
19.655,1.346,0.658,-88.423
19.755,1.346,0.664,-88.414
19.856,1.346,0.664,-88.414
19.956,1.346,0.664,-88.414
20.056,1.34,0.664,-88.395
20.157,1.34,0.664,-88.395
20.257,1.34,0.664,-88.395
20.357,1.34,0.654,-88.411
20.458,1.34,0.654,-88.411
20.558,1.34,0.654,-88.411
20.659,1.354,0.654,-88.454
20.759,1.354,0.654,-88.454
20.86,1.354,0.654,-88.454
20.96,1.354,0.644,-88.468
21.061,1.354,0.644,-88.468
21.161,1.354,0.644,-88.468
21.262,1.34,0.644,-88.426
21.362,1.34,0.644,-88.426
21.463,1.34,0.644,-88.426
21.563,1.34,0.654,-88.411
21.664,1.34,0.654,-88.411
21.764,1.34,0.654,-88.411
21.864,1.344,0.654,-88.423
21.965,1.344,0.654,-88.423
22.065,1.344,0.654,-88.423
22.165,1.344,0.656,-88.42
22.266,1.344,0.656,-88.42
22.366,1.344,0.656,-88.42
22.466,1.348,0.656,-88.433
22.567,1.348,0.656,-88.433
22.667,1.348,0.656,-88.433
22.767,1.348,0.648,-88.444
22.868,1.348,0.648,-88.444
22.968,1.348,0.648,-88.444
23.068,1.352,0.648,-88.456
23.169,1.352,0.648,-88.456
23.269,1.352,0.648,-88.456
23.369,1.352,0.658,-88.442
23.47,1.352,0.658,-88.442
23.57,1.352,0.658,-88.442
23.67,1.342,0.658,-88.411
23.771,1.342,0.658,-88.411
23.871,1.342,0.658,-88.411
23.971,1.342,0.666,-88.399
24.072,1.342,0.666,-88.399
24.172,1.342,0.666,-88.399
24.272,1.35,0.666,-88.424
24.372,1.35,0.666,-88.424
24.473,1.35,0.666,-88.424
24.573,1.35,0.67,-88.418
24.674,1.35,0.67,-88.418
24.774,1.35,0.67,-88.418
24.874,1.362,0.67,-88.454
24.974,1.362,0.67,-88.454
25.075,1.362,0.67,-88.454
