Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,5.487,4.77,-89.705
0.101,5.487,4.77,-89.705
0.201,5.487,4.77,-89.705
0.301,5.487,4.795,-89.695
0.401,5.487,4.795,-89.695
0.501,5.487,4.795,-89.695
0.602,5.484,4.795,-89.693
0.702,5.484,4.795,-89.693
0.802,5.484,4.795,-89.693
0.902,5.484,4.804,-89.689
1.003,5.484,4.804,-89.689
1.103,5.484,4.804,-89.689
1.203,5.478,4.804,-89.686
1.303,5.478,4.804,-89.686
1.403,5.478,4.804,-89.686
1.504,5.478,4.832,-89.674
1.604,5.478,4.832,-89.674
1.704,5.478,4.832,-89.674
1.804,5.472,4.832,-89.67
1.904,5.472,4.832,-89.67
2.005,5.472,4.832,-89.67
2.105,5.472,4.876,-83.391
2.205,5.472,4.876,-83.391
2.305,5.472,4.876,-83.391
2.406,5.47,4.876,-81.904
2.506,5.47,4.876,-81.904
2.606,5.47,4.876,-81.904
2.707,5.47,4.9,-71.834
2.807,5.47,4.9,-71.834
2.907,5.47,4.9,-71.834
3.007,5.468,4.9,-71.232
3.108,5.468,4.9,-71.232
3.208,5.468,4.9,-71.232
3.308,5.468,4.908,-68.993
3.408,5.468,4.908,-68.993
3.509,5.468,4.908,-68.993
3.609,5.47,4.908,-69.531
3.709,5.47,4.908,-69.531
3.81,5.47,4.908,-69.531
3.91,5.47,4.916,-67.452
4.01,5.47,4.916,-67.452
4.11,5.47,4.916,-67.452
4.211,5.478,4.916,-69.53
4.311,5.478,4.916,-69.53
4.411,5.478,4.916,-69.53
4.511,5.478,4.908,-71.834
4.612,5.478,4.908,-71.834
4.712,5.478,4.908,-71.834
4.812,5.484,4.908,-73.765
4.912,5.484,4.908,-73.765
5.013,5.484,4.908,-73.765
5.113,5.484,4.914,-71.833
5.213,5.484,4.914,-71.833
5.314,5.484,4.914,-71.833
5.414,5.486,4.914,-72.455
5.514,5.486,4.914,-72.455
5.614,5.486,4.914,-72.455
5.715,5.486,4.924,-69.53
5.815,5.486,4.924,-69.53
5.915,5.486,4.924,-69.53
6.015,5.492,4.924,-71.232
6.116,5.492,4.924,-71.232
6.216,5.492,4.924,-71.232
6.316,5.492,4.916,-73.765
6.416,5.492,4.916,-73.765
6.517,5.492,4.916,-73.765
6.617,5.494,4.916,-74.461
6.717,5.494,4.916,-74.461
6.817,5.494,4.916,-74.461
6.918,5.494,4.922,-72.454
7.018,5.494,4.922,-72.454
7.118,5.494,4.922,-72.454
7.219,5.476,4.922,-67.452
7.319,5.476,4.922,-67.452
7.419,5.476,4.922,-67.452
7.519,5.476,4.926,-66.478
7.62,5.476,4.926,-66.478
7.72,5.476,4.926,-66.478
7.82,5.478,4.926,-66.96
7.92,5.478,4.926,-66.96
8.021,5.478,4.926,-66.96
8.121,5.478,4.892,-77.619
8.221,5.478,4.892,-77.619
8.322,5.478,4.892,-77.619
8.422,5.492,4.892,-89.651
8.522,5.492,4.892,-89.651
8.622,5.492,4.892,-89.651
8.723,5.492,4.878,-89.659
8.823,5.492,4.878,-89.659
8.923,5.492,4.878,-89.659
9.024,5.49,4.878,-89.657
9.124,5.49,4.878,-89.657
9.224,5.49,4.878,-89.657
9.325,5.49,4.87,-89.662
9.425,5.49,4.87,-89.662
9.525,5.49,4.87,-89.662
9.625,5.484,4.87,-89.658
9.726,5.484,4.87,-89.658
9.826,5.484,4.87,-89.658
9.926,5.484,4.87,-89.658
10.027,5.484,4.87,-89.658
10.127,5.484,4.87,-89.658
10.227,5.494,4.87,-89.664
10.327,5.494,4.87,-89.664
10.428,5.494,4.87,-89.664
10.528,5.494,4.846,-89.676
10.628,5.494,4.846,-89.676
10.729,5.494,4.846,-89.676
10.829,5.49,4.846,-89.673
10.929,5.49,4.846,-89.673
11.029,5.49,4.846,-89.673
11.13,5.49,4.864,-89.665
11.23,5.49,4.864,-89.665
11.33,5.49,4.864,-89.665
11.43,5.486,4.864,-89.662
11.531,5.486,4.864,-89.662
11.631,5.486,4.864,-89.662
11.731,5.486,4.868,-89.66
11.832,5.486,4.868,-89.66
11.932,5.486,4.868,-89.66
12.032,5.494,4.868,-89.665
12.132,5.494,4.868,-89.665
12.233,5.494,4.868,-89.665
12.333,5.494,4.876,-89.661
12.433,5.494,4.876,-89.661
12.534,5.494,4.876,-89.661
12.634,5.496,4.876,-89.662
12.734,5.496,4.876,-89.662
12.834,5.496,4.876,-89.662
12.935,5.496,4.856,-89.672
13.035,5.496,4.856,-89.672
13.135,5.496,4.856,-89.672
13.235,5.504,4.856,-89.676
13.336,5.504,4.856,-89.676
13.436,5.504,4.856,-89.676
13.536,5.504,4.874,-89.667
13.637,5.504,4.874,-89.667
13.737,5.504,4.874,-89.667
13.837,5.534,4.874,-89.683
13.937,5.534,4.874,-89.683
14.038,5.534,4.874,-89.683
14.138,5.534,4.866,-89.687
14.238,5.534,4.866,-89.687
14.339,5.534,4.866,-89.687
14.439,5.542,4.866,-89.691
14.539,5.542,4.866,-89.691
14.639,5.542,4.866,-89.691
14.74,5.542,4.874,-89.688
14.84,5.542,4.874,-89.688
14.94,5.542,4.874,-89.688
15.041,5.534,4.874,-89.683
15.141,5.534,4.874,-89.683
15.241,5.534,4.874,-89.683
15.341,5.534,4.874,-89.683
15.442,5.534,4.874,-89.683
15.542,5.534,4.874,-89.683
15.642,5.556,4.874,-89.694
15.743,5.556,4.874,-89.694
15.843,5.556,4.874,-89.694
15.943,5.556,4.894,-89.686
16.043,5.556,4.894,-89.686
16.144,5.556,4.894,-89.686
16.244,5.572,4.894,-89.694
16.344,5.572,4.894,-89.694
16.444,5.572,4.894,-89.694
16.545,5.572,4.886,-89.697
16.645,5.572,4.886,-89.697
16.745,5.572,4.886,-89.697
16.846,5.558,4.886,-89.69
16.946,5.558,4.886,-89.69
17.046,5.558,4.886,-89.69
17.146,5.558,4.878,-89.694
17.247,5.558,4.878,-89.694
17.347,5.558,4.878,-89.694
17.447,5.558,4.878,-89.694
17.548,5.558,4.878,-89.694
17.648,5.558,4.878,-89.694
17.748,5.558,4.854,-89.703
17.848,5.558,4.854,-89.703
17.949,5.558,4.854,-89.703
18.049,5.572,4.854,-89.71
18.149,5.572,4.854,-89.71
18.25,5.572,4.854,-89.71
18.35,5.572,4.856,-89.709
18.45,5.572,4.856,-89.709
18.55,5.572,4.856,-89.709
18.651,5.566,4.856,-89.706
18.751,5.566,4.856,-89.706
18.851,5.566,4.856,-89.706
18.951,5.566,4.844,-89.711
19.052,5.566,4.844,-89.711
19.152,5.566,4.844,-89.711
19.252,5.564,4.844,-89.71
19.353,5.564,4.844,-89.71
19.453,5.564,4.848,-89.708
19.553,5.564,4.848,-89.708
19.653,5.564,4.848,-89.708
19.754,5.576,4.848,-89.713
19.854,5.576,4.848,-89.713
19.954,5.576,4.848,-89.713
20.054,5.576,4.858,-89.71
20.155,5.576,4.858,-89.71
20.255,5.576,4.858,-89.71
20.355,5.576,4.858,-89.71
20.456,5.576,4.858,-89.71
20.556,5.576,4.858,-89.71
20.656,5.576,4.874,-89.704
20.757,5.576,4.874,-89.704
20.857,5.576,4.874,-89.704
20.957,5.572,4.874,-89.702
21.057,5.572,4.874,-89.702
21.158,5.572,4.874,-89.702
21.258,5.572,4.874,-89.702
21.358,5.572,4.874,-89.702
21.459,5.572,4.874,-89.702
21.559,5.566,4.874,-89.699
21.659,5.566,4.874,-89.699
21.759,5.566,4.874,-89.699
21.86,5.566,4.886,-89.694
21.96,5.566,4.886,-89.694
22.06,5.566,4.886,-89.694
22.161,5.56,4.886,-89.691
22.261,5.56,4.886,-89.691
22.361,5.56,4.886,-89.691
22.461,5.56,4.884,-89.692
22.562,5.56,4.884,-89.692
22.662,5.56,4.884,-89.692
22.762,5.56,4.884,-89.692
22.862,5.55,4.884,-89.687
22.963,5.55,4.884,-89.687
23.063,5.55,4.88,-89.689
23.163,5.55,4.88,-89.689
23.263,5.55,4.88,-89.689
23.364,5.542,4.88,-89.685
23.464,5.542,4.88,-89.685
23.564,5.542,4.88,-89.685
23.664,5.542,4.896,-89.678
23.765,5.542,4.896,-89.678
23.865,5.542,4.896,-89.678
23.965,5.562,4.896,-89.688
24.065,5.562,4.896,-89.688
24.166,5.562,4.896,-89.688
24.266,5.562,4.892,-89.69
24.366,5.562,4.892,-89.69
24.467,5.562,4.892,-89.69
24.567,5.592,4.892,-89.704
24.667,5.592,4.892,-89.704
24.767,5.592,4.892,-89.704
24.868,5.592,4.884,-89.707
24.968,5.592,4.884,-89.707
25.068,5.592,4.884,-89.707
25.168,5.604,4.884,-89.712
25.269,5.604,4.884,-89.712
25.369,5.604,4.884,-89.712
25.469,5.604,4.882,-89.713
25.57,5.604,4.882,-89.713
25.67,5.604,4.882,-89.713
25.77,5.614,4.882,-89.717
25.87,5.614,4.882,-89.717
25.971,5.614,4.882,-89.717
26.071,5.614,4.882,-89.717
26.171,5.614,4.882,-89.717
26.272,5.614,4.882,-89.717
26.372,5.624,4.882,-89.721
26.472,5.624,4.882,-89.721
26.572,5.624,4.882,-89.721
26.673,5.624,4.862,-89.728
26.773,5.624,4.862,-89.728
26.873,5.624,4.862,-89.728
26.973,5.604,4.862,-89.72
27.074,5.604,4.862,-89.72
27.174,5.604,4.862,-89.72
27.274,5.604,4.858,-89.721
27.375,5.604,4.858,-89.721
27.475,5.604,4.858,-89.721
27.575,5.572,4.858,-89.708
27.675,5.572,4.858,-89.708
27.776,5.572,4.858,-89.708
27.876,5.572,4.85,-89.711
27.976,5.572,4.85,-89.711
28.077,5.572,4.85,-89.711
28.177,5.564,4.85,-89.708
28.277,5.564,4.85,-89.708
28.377,5.564,4.85,-89.708
28.478,5.564,4.854,-89.706
28.578,5.564,4.854,-89.706
28.678,5.564,4.854,-89.706
28.779,5.562,4.854,-89.705
28.879,5.562,4.854,-89.705
28.979,5.562,4.854,-89.705
29.079,5.562,4.858,-89.704
29.18,5.562,4.858,-89.704
29.28,5.562,4.858,-89.704
29.38,5.558,4.858,-89.702
29.481,5.558,4.858,-89.702
29.581,5.558,4.858,-89.702
29.681,5.558,4.858,-89.702
29.781,5.558,4.858,-89.702
29.882,5.558,4.858,-89.702
29.982,5.566,4.858,-89.705
