Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,4.717,5.56,89.749
0.101,4.717,5.52,89.736
0.201,4.717,5.52,89.736
0.301,4.717,5.52,89.736
0.401,4.715,5.52,89.736
0.502,4.715,5.52,89.736
0.602,4.715,5.52,89.736
0.702,4.715,5.576,89.755
0.802,4.715,5.576,89.755
0.903,4.715,5.576,89.755
1.003,4.716,5.576,89.754
1.103,4.716,5.576,89.754
1.203,4.716,5.576,89.754
1.304,4.716,5.628,89.77
1.404,4.716,5.628,89.77
1.504,4.716,5.628,89.77
1.605,4.722,5.628,89.768
1.705,4.722,5.628,89.768
1.805,4.722,5.628,89.768
1.906,4.722,5.688,89.784
2.006,4.722,5.688,89.784
2.106,4.722,5.688,89.784
2.206,4.728,5.688,89.783
2.306,4.728,5.688,89.783
2.407,4.728,5.688,89.783
2.507,4.728,5.74,89.795
2.607,4.728,5.74,89.795
2.707,4.728,5.74,89.795
2.808,4.728,5.74,89.795
2.908,4.728,5.74,89.795
3.008,4.728,5.74,89.795
3.108,4.728,5.822,89.812
3.209,4.728,5.822,89.812
3.309,4.728,5.822,89.812
3.409,4.73,5.822,89.811
3.51,4.73,5.822,89.811
3.61,4.73,5.822,89.811
3.71,4.73,5.854,89.817
3.811,4.73,5.854,89.817
3.911,4.73,5.854,89.817
4.011,4.738,5.854,89.816
4.112,4.738,5.854,89.816
4.212,4.738,5.854,89.816
4.312,4.738,5.758,89.797
4.413,4.738,5.758,89.797
4.513,4.738,5.758,89.797
4.613,4.746,5.758,89.795
4.714,4.746,5.758,89.795
4.814,4.746,5.758,89.795
4.914,4.746,5.714,89.785
5.015,4.746,5.714,89.785
5.115,4.746,5.714,89.785
5.215,4.738,5.714,89.787
5.315,4.738,5.714,89.787
5.416,4.738,5.714,89.787
5.516,4.738,5.64,89.768
5.616,4.738,5.64,89.768
5.717,4.738,5.64,89.768
5.817,4.744,5.64,89.766
5.917,4.744,5.64,89.766
6.018,4.744,5.64,89.766
6.118,4.744,5.642,89.767
6.218,4.744,5.642,89.767
6.319,4.744,5.642,89.767
6.419,4.744,5.642,89.767
6.519,4.744,5.642,89.767
6.62,4.744,5.642,89.767
6.72,4.744,5.622,89.761
6.82,4.744,5.622,89.761
6.921,4.744,5.622,89.761
7.021,4.74,5.622,89.762
7.121,4.74,5.622,89.762
7.222,4.74,5.622,89.762
7.322,4.74,5.7,89.783
7.422,4.74,5.7,89.783
7.523,4.74,5.7,89.783
7.623,4.732,5.7,89.785
7.723,4.732,5.7,89.785
7.824,4.732,5.7,89.785
7.924,4.732,5.638,89.769
8.024,4.732,5.638,89.769
8.125,4.732,5.638,89.769
8.225,4.722,5.638,89.771
8.325,4.722,5.638,89.771
8.426,4.722,5.638,89.771
8.526,4.722,5.614,89.764
8.626,4.722,5.614,89.764
8.727,4.722,5.614,89.764
8.827,4.728,5.614,89.763
8.927,4.728,5.614,89.763
9.028,4.728,5.614,89.763
9.128,4.728,5.502,89.725
9.228,4.728,5.502,89.725
9.329,4.728,5.502,89.725
9.429,4.728,5.502,89.725
9.529,4.728,5.502,89.725
9.63,4.728,5.502,89.725
9.73,4.728,5.396,89.679
9.83,4.728,5.396,89.679
9.931,4.728,5.396,89.679
10.031,4.732,5.396,89.677
10.131,4.732,5.396,89.677
10.232,4.732,5.298,70.651
10.332,4.732,5.298,70.651
10.432,4.732,5.298,70.651
10.533,4.732,5.298,70.651
10.633,4.73,5.298,71.234
10.733,4.73,5.298,71.234
10.833,4.73,5.38,89.669
10.934,4.73,5.38,89.669
11.034,4.73,5.38,89.669
11.134,4.73,5.38,89.669
11.235,4.73,5.38,89.669
11.335,4.73,5.38,89.669
11.435,4.73,5.392,89.676
11.536,4.73,5.392,89.676
11.636,4.73,5.392,89.676
11.736,4.728,5.392,89.676
11.837,4.728,5.392,89.676
11.937,4.728,5.392,89.676
12.037,4.728,5.414,89.687
12.137,4.728,5.414,89.687
12.238,4.728,5.414,89.687
12.338,4.728,5.414,89.687
12.438,4.73,5.414,89.687
12.539,4.73,5.414,89.687
12.639,4.73,5.416,89.688
12.739,4.73,5.416,89.688
12.84,4.73,5.416,89.688
12.94,4.738,5.416,89.684
13.04,4.738,5.416,89.684
13.141,4.738,5.416,89.684
13.241,4.738,5.444,89.698
13.341,4.738,5.444,89.698
13.441,4.738,5.444,89.698
13.542,4.738,5.444,89.698
13.642,4.738,5.444,89.698
13.742,4.738,5.444,89.698
13.843,4.738,5.428,89.69
13.943,4.738,5.428,89.69
14.043,4.738,5.428,89.69
14.144,4.748,5.428,89.686
14.244,4.748,5.428,89.686
14.344,4.748,5.428,89.686
14.444,4.748,5.422,89.683
14.545,4.748,5.422,89.683
14.645,4.748,5.422,89.683
14.745,4.746,5.422,89.684
14.846,4.746,5.422,89.684
14.946,4.746,5.422,89.684
15.046,4.746,5.42,89.683
15.147,4.746,5.42,89.683
15.247,4.746,5.42,89.683
15.347,4.752,5.42,89.68
15.448,4.752,5.42,89.68
15.548,4.752,5.42,89.68
15.648,4.752,5.438,89.689
15.749,4.752,5.438,89.689
15.849,4.752,5.438,89.689
15.949,4.756,5.438,89.687
16.049,4.756,5.438,89.687
16.15,4.756,5.438,89.687
16.25,4.756,5.446,89.691
16.35,4.756,5.446,89.691
16.45,4.756,5.446,89.691
16.551,4.77,5.446,89.685
16.651,4.77,5.446,89.685
16.751,4.77,5.446,89.685
16.851,4.77,5.446,89.685
16.952,4.77,5.446,89.685
17.052,4.77,5.446,89.685
17.152,4.764,5.446,89.688
17.253,4.764,5.446,89.688
17.353,4.764,5.446,89.688
17.453,4.764,5.398,89.663
17.553,4.764,5.398,89.663
17.654,4.764,5.398,89.663
17.754,4.772,5.398,89.658
17.854,4.772,5.398,89.658
17.954,4.772,5.398,89.658
18.055,4.772,5.398,89.658
18.155,4.772,5.4,89.66
18.255,4.772,5.4,89.66
18.356,4.752,5.4,89.669
18.456,4.752,5.4,89.669
18.556,4.752,5.4,89.669
18.656,4.752,5.394,89.666
18.757,4.752,5.394,89.666
18.857,4.752,5.394,89.666
18.957,4.748,5.394,89.668
19.058,4.748,5.394,89.668
19.158,4.748,5.394,89.668
19.258,4.748,5.39,89.666
19.358,4.748,5.39,89.666
19.459,4.748,5.39,89.666
19.559,4.738,5.39,89.671
19.659,4.738,5.39,89.671
19.759,4.738,5.39,89.671
19.86,4.738,5.382,89.666
19.96,4.738,5.382,89.666
20.06,4.738,5.382,89.666
20.161,4.726,5.382,89.672
20.261,4.726,5.382,89.672
20.361,4.726,5.382,89.672
20.461,4.726,5.392,89.677
20.562,4.726,5.392,89.677
20.662,4.726,5.392,89.677
20.762,4.72,5.392,89.68
20.863,4.72,5.392,89.68
20.963,4.72,5.392,89.68
21.063,4.72,5.392,89.68
21.163,4.72,5.392,89.68
21.264,4.72,5.392,89.68
21.364,4.73,5.392,89.676
21.464,4.73,5.392,89.676
21.565,4.73,5.392,89.676
21.665,4.73,5.398,89.679
21.765,4.73,5.398,89.679
21.865,4.73,5.398,89.679
21.966,4.726,5.398,89.68
22.066,4.726,5.398,89.68
22.166,4.726,5.398,89.68
22.266,4.726,5.398,89.68
22.367,4.726,5.402,89.682
22.467,4.726,5.402,89.682
22.567,4.726,5.402,89.682
22.668,4.726,5.402,89.682
22.768,4.726,5.402,89.682
22.868,4.726,5.392,89.677
22.969,4.726,5.392,89.677
23.069,4.726,5.392,89.677
23.169,4.732,5.392,89.675
23.269,4.732,5.392,89.675
23.37,4.732,5.392,89.675
23.47,4.732,5.384,89.67
23.57,4.732,5.384,89.67
23.671,4.732,5.384,89.67
23.771,4.732,5.384,89.67
23.871,4.732,5.384,89.67
23.972,4.732,5.384,89.67
24.072,4.732,5.388,89.672
24.173,4.732,5.388,89.672
24.273,4.732,5.388,89.672
24.373,4.726,5.388,89.675
24.474,4.726,5.388,89.675
24.574,4.726,5.388,89.675
24.674,4.726,5.402,89.682
24.774,4.726,5.402,89.682
24.875,4.726,5.402,89.682
24.975,4.728,5.402,89.682
25.075,4.728,5.402,89.682
25.176,4.728,5.402,89.682
25.276,4.728,5.402,89.682
25.376,4.728,5.402,89.682
25.477,4.728,5.402,89.682
25.577,4.736,5.402,89.678
25.677,4.736,5.402,89.678
25.777,4.736,5.402,89.678
25.878,4.736,5.492,89.719
25.978,4.736,5.492,89.719
26.078,4.736,5.492,89.719
26.179,4.75,5.492,89.714
26.279,4.75,5.492,89.714
26.379,4.75,5.492,89.714
26.48,4.75,5.492,89.714
26.58,4.75,5.492,89.714
26.68,4.75,5.492,89.714
26.781,4.752,5.492,89.713
26.881,4.752,5.492,89.713
26.981,4.752,5.492,89.713
27.081,4.752,5.492,89.713
27.182,4.752,5.492,89.713
27.282,4.752,5.492,89.713
27.382,4.752,5.492,89.713
27.483,4.752,5.492,89.713
27.583,4.752,5.492,89.713
27.683,4.752,5.484,89.71
27.784,4.752,5.484,89.71
27.884,4.752,5.484,89.71
27.984,4.76,5.484,89.707
28.085,4.76,5.484,89.707
28.185,4.76,5.484,89.707
28.285,4.76,5.466,89.699
28.386,4.76,5.466,89.699
28.486,4.76,5.466,89.699
28.586,4.754,5.466,89.701
28.686,4.754,5.466,89.701
28.787,4.754,5.466,89.701
28.887,4.754,5.482,89.708
28.987,4.754,5.482,89.708
29.088,4.754,5.482,89.708
29.188,4.75,5.482,89.71
29.288,4.75,5.482,89.71
29.389,4.75,5.482,89.71
29.489,4.75,5.414,89.678
29.589,4.75,5.414,89.678
29.69,4.75,5.414,89.678
29.79,4.738,5.414,89.683
29.89,4.738,5.414,89.683
29.991,4.738,5.414,89.683
