Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,5.047,4.947,-9.53
0.101,5.047,4.947,-9.53
0.201,5.043,4.947,-9.126
0.301,5.043,4.947,-9.126
0.401,5.043,4.947,-9.126
0.501,5.043,4.948,-9.078
0.602,5.043,4.948,-9.078
0.702,5.043,4.948,-9.078
0.802,5.036,4.948,-8.449
0.902,5.036,4.948,-8.449
1.003,5.036,4.948,-8.449
1.103,5.036,4.956,-7.676
1.203,5.036,4.956,-7.676
1.303,5.036,4.956,-7.676
1.404,5.018,4.956,-5.942
1.504,5.018,4.956,-5.942
1.604,5.018,4.956,-5.942
1.704,5.018,4.942,-7.29
1.804,5.018,4.942,-7.29
1.905,5.018,4.942,-7.29
2.005,5.008,4.942,-6.327
2.105,5.008,4.942,-6.327
2.205,5.008,4.942,-6.327
2.305,5.008,4.954,-5.173
2.406,5.008,4.954,-5.173
2.506,5.008,4.954,-5.173
2.606,5.014,4.954,-5.75
2.706,5.014,4.954,-5.75
2.806,5.014,4.954,-5.75
2.907,5.014,4.966,-4.597
3.007,5.014,4.966,-4.597
3.107,5.014,4.966,-4.597
3.208,5.016,4.966,-4.789
3.308,5.016,4.966,-4.789
3.408,5.016,4.966,-4.789
3.508,5.016,4.974,-4.021
3.609,5.016,4.974,-4.021
3.709,5.016,4.974,-4.021
3.809,5.02,4.974,-4.405
3.91,5.02,4.974,-4.405
4.01,5.02,4.974,-4.405
4.11,5.02,4.976,-4.213
4.21,5.02,4.976,-4.213
4.311,5.02,4.976,-4.213
4.411,5.028,4.976,-4.981
4.511,5.028,4.976,-4.981
4.612,5.028,4.976,-4.981
4.712,5.028,4.97,-5.557
4.812,5.028,4.97,-5.557
4.913,5.028,4.97,-5.557
5.013,5.05,4.97,-7.676
5.113,5.05,4.97,-7.676
5.214,5.05,4.97,-7.676
5.314,5.05,4.968,-7.869
5.414,5.05,4.968,-7.869
5.515,5.05,4.968,-7.869
5.615,5.05,4.968,-7.869
5.715,5.05,4.968,-7.869
5.816,5.05,4.968,-7.869
5.916,5.05,4.962,-8.449
6.016,5.05,4.962,-8.449
6.117,5.05,4.962,-8.449
6.217,5.058,4.962,-9.223
6.318,5.058,4.962,-9.223
6.418,5.058,4.962,-9.223
6.518,5.058,4.95,-10.388
6.619,5.058,4.95,-10.388
6.719,5.058,4.95,-10.388
6.819,5.056,4.95,-10.194
6.919,5.056,4.95,-10.194
7.02,5.056,4.95,-10.194
7.12,5.056,4.944,-10.777
7.22,5.056,4.944,-10.777
7.321,5.056,4.944,-10.777
7.421,5.066,4.944,-11.752
7.521,5.066,4.944,-11.752
7.622,5.066,4.944,-11.752
7.722,5.066,4.972,-9.029
7.822,5.066,4.972,-9.029
7.922,5.066,4.972,-9.029
8.023,5.054,4.972,-7.869
8.123,5.054,4.972,-7.869
8.223,5.054,4.972,-7.869
8.323,5.054,4.978,-7.29
8.424,5.054,4.978,-7.29
8.524,5.054,4.978,-7.29
